iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
FRO,Europe,Faeroe Islands,2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69598.0,36133.0,33465.0,,257.0,214.0,142.43,73.94,68.48,,4379.0,,48865.0,35.308,,,,,,,,,,,,80.67,,
FJI,Oceania,Fiji,2021-08-17,41177.0,590.0,475.857,405.0,11.0,11.143,45933.711,658.156,530.828,451.785,12.271,12.43,0.65,,,,,,,,,,,,,,,,,,745201.0,533705.0,211496.0,,,7759.0,83.13,59.54,23.59,,8655.0,86.11,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FIN,Europe,Finland,2021-08-17,118647.0,665.0,744.286,1006.0,3.0,1.857,21413.651,120.021,134.33,181.565,0.541,0.335,1.17,18.0,3.249,100.0,18.048,,,,,9705.0,6227325.0,1123.92,1.752,18555.0,3.349,0.041,24.4,tests performed,6247233.0,3859628.0,2387605.0,,15353.0,39016.0,112.75,69.66,43.09,,7042.0,43.98,5540718.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,
FRA,Europe,France,2021-08-17,6581417.0,24921.0,24875.571,113116.0,124.0,77.286,97409.753,368.849,368.177,1674.199,1.835,1.144,1.12,1556.0,23.03,8685.0,128.544,1082.911,16.028,4380.823,64.839,994320.0,,,14.717,742492.0,10.989,0.035,28.6,people tested,81303087.0,46413148.0,35848630.0,,494057.0,440414.0,120.33,68.69,53.06,,6518.0,66.2,67564251.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,
PYF,Oceania,French Polynesia,2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190080.0,108287.0,81793.0,,,2279.0,67.67,38.55,29.12,,8113.0,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,
GAB,Africa,Gabon,2021-08-17,25607.0,0.0,17.143,165.0,0.0,0.0,11505.0,0.0,7.702,74.133,0.0,0.0,1.14,,,,,,,,,7998.0,1035943.0,465.44,3.593,3381.0,1.519,0.005,198.7,samples tested,120627.0,71867.0,48760.0,,,2401.0,5.42,3.23,2.19,,1079.0,67.59,2225728.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,
GMB,Africa,Gambia,2021-08-17,9195.0,0.0,84.571,271.0,0.0,4.143,3804.832,0.0,34.995,112.138,0.0,1.714,1.12,,,,,,,,,,,,,,,,,,277416.0,156257.0,121159.0,,,8995.0,11.48,6.47,5.01,,3722.0,24.07,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GEO,Asia,Georgia,2021-08-17,490462.0,6208.0,4945.143,6483.0,47.0,43.0,122948.229,1556.211,1239.64,1625.148,11.782,10.779,1.3,,,,,,,,,35000.0,7198000.0,1804.383,8.774,42571.0,10.672,0.095,10.5,tests performed,831815.0,586608.0,245207.0,,23981.0,23831.0,20.85,14.7,6.15,,5974.0,,3989175.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,
DEU,Europe,Germany,2021-08-17,3837218.0,5391.0,4838.143,91927.0,22.0,14.714,45798.965,64.344,57.745,1097.191,0.263,0.176,1.41,,,,,,,417.073,4.978,,68260213.0,814.717,,84058.0,1.003,0.039,25.6,tests performed,98274623.0,52803002.0,48109314.0,,343569.0,331900.0,117.3,63.02,57.42,,3961.0,62.04,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,
GHA,Africa,Ghana,2021-08-17,111232.0,0.0,365.0,930.0,0.0,7.143,3579.706,0.0,11.747,29.93,0.0,0.23,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,
GIB,Europe,Gibraltar,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78540.0,39366.0,39174.0,,12.0,4.0,233.12,116.84,116.27,,119.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,
GRC,Europe,Greece,2021-08-17,543749.0,4412.0,3192.857,13220.0,16.0,19.0,52167.905,423.292,306.326,1268.342,1.535,1.823,1.11,,,,,93.353,8.956,,,101661.0,13837533.0,1327.589,9.753,88418.0,8.483,0.035,28.4,samples tested,11047575.0,5861691.0,5544272.0,,29128.0,24623.0,105.99,56.24,53.19,,2362.0,48.61,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,
GRL,North America,Greenland,2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68767.0,38755.0,30012.0,,46.0,482.0,121.13,68.26,52.86,,8490.0,,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRD,North America,Grenada,2021-08-17,188.0,0.0,1.143,1.0,0.0,0.0,1670.829,0.0,10.157,8.887,0.0,0.0,0.07,,,,,,,,,,,,,,,,,,39121.0,21963.0,17158.0,,,127.0,34.77,19.52,15.25,,1129.0,,112519.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,
GTM,North America,Guatemala,2021-08-17,417620.0,3823.0,3321.143,11219.0,30.0,53.429,23310.454,213.39,185.377,626.215,1.675,2.982,1.12,,,,,,,,,2318.0,2020393.0,112.773,0.129,9692.0,0.541,0.332,3.0,people tested,3315819.0,2748064.0,567755.0,,66575.0,76911.0,18.51,15.34,3.17,,4293.0,52.78,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,
GGY,Europe,Guernsey,2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97141.0,,,,,146.0,144.87,,,,2177.0,,67052.0,,,,,,,,,,,,,,,
GIN,Africa,Guinea,2021-08-17,28255.0,137.0,163.286,293.0,1.0,4.286,2151.485,10.432,12.433,22.311,0.076,0.326,1.27,,,,,,,,,,,,,,,,,,952891.0,608828.0,344063.0,,5938.0,5282.0,7.26,4.64,2.62,,402.0,,13132792.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,
GNB,Africa,Guinea-Bissau,2021-08-17,5123.0,0.0,37.0,90.0,0.0,1.429,2603.153,0.0,18.801,45.732,0.0,0.726,1.33,,,,,,,,,,,,,,,,,,30471.0,28097.0,2374.0,,,250.0,1.55,1.43,0.12,,127.0,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,
GUY,South America,Guyana,2021-08-17,23675.0,100.0,97.571,582.0,4.0,3.0,30099.459,127.136,124.048,739.932,5.085,3.814,1.09,,,,,,,,,,,,,,,,,,434965.0,287837.0,147128.0,,3506.0,3151.0,55.3,36.59,18.71,,4006.0,,786559.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,
HTI,North America,Haiti,2021-08-17,20556.0,0.0,23.857,576.0,0.0,1.0,1802.757,0.0,2.092,50.515,0.0,0.088,1.0,,,,,,,,,,,,,,,,,,20281.0,20251.0,371.0,,2244.0,887.0,0.18,0.18,0.0,,78.0,53.7,11402533.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,
HND,North America,Honduras,2021-08-17,321675.0,1844.0,1806.571,8496.0,56.0,42.0,32477.308,186.176,182.397,857.783,5.654,4.24,1.14,,,,,,,,,,,,,,,,,,3292889.0,2326420.0,966469.0,,80192.0,92828.0,33.25,23.49,9.76,,9372.0,78.7,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,
HKG,Asia,Hong Kong,2021-08-17,12039.0,3.0,2.857,212.0,0.0,0.0,1605.845,0.4,0.381,28.278,0.0,0.0,,,,,,,,,,,22744169.0,3033.774,,61811.0,8.245,0.0,16666.7,tests performed,6761456.0,3797484.0,2963972.0,,61338.0,63684.0,90.19,50.65,39.54,,8495.0,62.96,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,
HUN,Europe,Hungary,2021-08-17,810549.0,45.0,71.857,30042.0,1.0,0.714,83904.724,4.658,7.438,3109.825,0.104,0.074,1.23,,,76.0,7.867,,,,,21092.0,5994248.0,620.5,2.183,7151.0,0.74,0.01,101.5,tests performed,10555046.0,5687634.0,5501199.0,,,10514.0,109.26,58.88,56.95,,1088.0,,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,
ISL,Europe,Iceland,2021-08-17,9682.0,104.0,103.714,30.0,0.0,0.0,28372.161,304.762,303.925,87.912,0.0,0.0,1.07,,,24.0,70.33,,,26.24,76.895,2385.0,541158.0,1585.811,6.989,3009.0,8.818,,,tests performed,477205.0,275173.0,255322.0,,,976.0,139.84,80.64,74.82,,2860.0,41.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,
