date,age_group_min,age_group_max,total_vaccinations,location
2021-03-27,73,74,374125.0,Chile
2021-03-27,31,40,1156789.0,Chile
2021-03-27,61,70,2323336.0,Chile
2021-03-27,75,77,480783.0,Chile
2021-03-27,80,,893760.0,Chile
2021-03-27,21,30,902978.0,Chile
2021-03-27,71,72,413717.0,Chile
2021-03-27,78,79,264730.0,Chile
2021-03-27,51,60,1584425.0,Chile
2021-03-27,15,20,112105.0,Chile
2021-03-28,51,60,1584891.0,Chile
2021-03-28,75,77,480801.0,Chile
2021-03-28,71,72,413739.0,Chile
2021-03-28,73,74,374148.0,Chile
2021-03-28,41,50,1138540.0,Chile
2021-03-28,80,,893837.0,Chile
2021-03-28,21,30,903207.0,Chile
2021-03-28,15,20,112158.0,Chile
2021-03-28,78,79,264736.0,Chile
2021-03-28,31,40,1157090.0,Chile
2021-03-28,61,70,2323588.0,Chile
2021-03-29,71,72,415405.0,Chile
2021-03-29,31,40,1192814.0,Chile
2021-03-29,51,60,1681240.0,Chile
2021-03-29,15,20,115662.0,Chile
2021-03-29,73,74,375568.0,Chile
2021-03-29,75,77,482576.0,Chile
2021-03-29,61,70,2397218.0,Chile
2021-03-29,80,,897302.0,Chile
2021-03-29,21,30,921008.0,Chile
2021-03-29,78,79,265735.0,Chile
2021-03-29,41,50,1160563.0,Chile
2021-03-30,61,70,2485942.0,Chile
2021-03-30,73,74,376852.0,Chile
2021-03-30,80,,900596.0,Chile
2021-03-30,21,30,942654.0,Chile
2021-03-30,71,72,416925.0,Chile
2021-03-30,15,20,119259.0,Chile
2021-03-30,75,77,484083.0,Chile
2021-03-30,31,40,1240490.0,Chile
2021-03-30,51,60,1766180.0,Chile
2021-03-30,78,79,266560.0,Chile
2021-03-30,41,50,1182120.0,Chile
2021-03-31,78,79,267401.0,Chile
2021-03-31,15,20,123175.0,Chile
2021-03-31,73,74,378015.0,Chile
2021-03-31,80,,903718.0,Chile
2021-03-31,61,70,2578337.0,Chile
2021-03-31,41,50,1203604.0,Chile
2021-03-31,51,60,1846416.0,Chile
2021-03-31,75,77,485507.0,Chile
2021-03-31,31,40,1277607.0,Chile
2021-03-31,21,30,979596.0,Chile
2021-03-31,71,72,418407.0,Chile
2021-04-01,31,40,1304774.0,Chile
2021-04-01,21,30,1016118.0,Chile
2021-04-01,73,74,379225.0,Chile
2021-04-01,80,,906857.0,Chile
