date,location,vaccine,total_vaccinations
2021-06-11,Uruguay,Pfizer/BioNTech,764208
2021-06-11,Uruguay,Sinovac,2436552
2021-06-12,Uruguay,Oxford/AstraZeneca,43062
2021-06-12,Uruguay,Pfizer/BioNTech,772924
2021-06-12,Uruguay,Sinovac,2450898
2021-06-13,Uruguay,Oxford/AstraZeneca,43062
2021-06-13,Uruguay,Pfizer/BioNTech,772925
2021-06-13,Uruguay,Sinovac,2452104
2021-06-14,Uruguay,Oxford/AstraZeneca,43062
2021-06-14,Uruguay,Pfizer/BioNTech,787582
2021-06-14,Uruguay,Sinovac,2494420
2021-06-15,Uruguay,Oxford/AstraZeneca,43062
2021-06-15,Uruguay,Pfizer/BioNTech,802435
2021-06-15,Uruguay,Sinovac,2533859
2021-06-16,Uruguay,Oxford/AstraZeneca,43062
2021-06-16,Uruguay,Pfizer/BioNTech,818052
2021-06-16,Uruguay,Sinovac,2571166
2021-06-17,Uruguay,Oxford/AstraZeneca,43062
2021-06-17,Uruguay,Pfizer/BioNTech,829422
2021-06-17,Uruguay,Sinovac,2603902
2021-06-18,Uruguay,Oxford/AstraZeneca,43069
2021-06-18,Uruguay,Pfizer/BioNTech,844620
2021-06-18,Uruguay,Sinovac,2635997
2021-06-19,Uruguay,Oxford/AstraZeneca,43072
2021-06-19,Uruguay,Pfizer/BioNTech,847049
2021-06-19,Uruguay,Sinovac,2647980
2021-06-20,Uruguay,Oxford/AstraZeneca,43072
2021-06-20,Uruguay,Pfizer/BioNTech,847050
2021-06-20,Uruguay,Sinovac,2648954
2021-06-21,Uruguay,Oxford/AstraZeneca,43072
2021-06-21,Uruguay,Pfizer/BioNTech,862236
2021-06-21,Uruguay,Sinovac,2686026
2021-06-22,Uruguay,Oxford/AstraZeneca,43072
2021-06-22,Uruguay,Pfizer/BioNTech,876685
2021-06-22,Uruguay,Sinovac,2717817
2021-06-23,Uruguay,Oxford/AstraZeneca,43072
2021-06-23,Uruguay,Pfizer/BioNTech,890509
2021-06-23,Uruguay,Sinovac,2746600
2021-06-24,Uruguay,Oxford/AstraZeneca,43083
2021-06-24,Uruguay,Pfizer/BioNTech,904292
2021-06-24,Uruguay,Sinovac,2774901
2021-06-25,Uruguay,Oxford/AstraZeneca,43130
2021-06-25,Uruguay,Pfizer/BioNTech,918222
2021-06-25,Uruguay,Sinovac,2799901
2021-06-26,Uruguay,Oxford/AstraZeneca,43130
2021-06-26,Uruguay,Pfizer/BioNTech,921985
2021-06-26,Uruguay,Sinovac,2809013
2021-06-27,Uruguay,Oxford/AstraZeneca,43130
2021-06-27,Uruguay,Pfizer/BioNTech,921985
2021-06-27,Uruguay,Sinovac,2810155
2021-06-28,Uruguay,Oxford/AstraZeneca,43143
2021-06-28,Uruguay,Pfizer/BioNTech,938171
2021-06-28,Uruguay,Sinovac,2847449
2021-06-29,Uruguay,Oxford/AstraZeneca,43143
2021-06-29,Uruguay,Pfizer/BioNTech,938875
2021-06-29,Uruguay,Sinovac,2848019
