location,iso_code,vaccines,last_observation_date,source_name,source_website
Kazakhstan,KAZ,"QazVac, Sinopharm/HayatVax, Sputnik V",2021-07-15,Government of Kazakhstan,https://www.coronavirus2020.kz/
Kenya,KEN,"Oxford/AstraZeneca, Sputnik V",2021-07-13,Ministry of Health,https://twitter.com/MOH_Kenya/status/1414988807867355143
Kosovo,OWID_KOS,Oxford/AstraZeneca,2021-07-08,Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2034553783368865/
Kuwait,KWT,Pfizer/BioNTech,2021-07-03,Ministry of Health,https://twitter.com/KUWAIT_MOH/status/1411777117713543173
Kyrgyzstan,KGZ,"Sinopharm/Beijing, Sputnik V",2021-06-23,Ministry of Health,"https://akipress.com/news:659779:Kyrgyzstan_vaccinates_99,900_against_COVID-19_so_far/"
Laos,LAO,"Sinopharm/Beijing, Sputnik V",2021-07-14,Government of Laos,https://www.facebook.com/CCEH.MoH.Lao/posts/4427614317263228
Latvia,LVA,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-07-15,Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Lesotho,LSO,Oxford/AstraZeneca,2021-07-05,World Health Organization,https://covid19.who.int/
Liberia,LBR,Oxford/AstraZeneca,2021-07-12,World Health Organization,https://covid19.who.int/
Libya,LBY,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-07-11,World Health Organization,https://covid19.who.int/
Liechtenstein,LIE,"Moderna, Pfizer/BioNTech",2021-07-11,Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL
Lithuania,LTU,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
Luxembourg,LUX,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,Government of Luxembourg,https://covid19.public.lu/fr.html
Macao,MAC,"Pfizer/BioNTech, Sinopharm/Beijing",2021-07-15,Government of Macao,https://www.gov.mo/zh-hant/news/600257/
Madagascar,MDG,Oxford/AstraZeneca,2021-06-28,World Health Organization,https://covid19.who.int/
Malawi,MWI,Oxford/AstraZeneca,2021-06-28,Ministry of Health,https://twitter.com/health_malawi/status/1409557597569568768
Malaysia,MYS,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-07-15,Government of Malaysia,https://github.com/CITF-Malaysia/citf-public
Maldives,MDV,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2021-07-12,Presidency of the Maldives,https://twitter.com/HPA_MV/status/1415000625922801665
Mali,MLI,Oxford/AstraZeneca,2021-07-12,World Health Organization,https://covid19.who.int/
Malta,MLT,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mauritania,MRT,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-15,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Mauritius,MUS,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-12,World Health Organization,https://covid19.who.int/
Mexico,MEX,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-07-14,Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/654009/2021.07.15_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Moldova,MDA,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-07-15,Ministry of Health,https://vaccinare.gov.md/
Monaco,MCO,Pfizer/BioNTech,2021-07-08,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-8-nouveaux-cas-positifs-ce-vendredi-9-juillet
Mongolia,MNG,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-07-15,Ministry of Health via ikon.mn,https://ikon.mn/
Montenegro,MNE,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-07-15,Government of Montenegro,https://www.covidodgovor.me/
Montserrat,MSR,Oxford/AstraZeneca,2021-07-09,World Health Organization,https://covid19.who.int/
Morocco,MAR,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-15,Ministry of Health,http://www.covidmaroc.ma/pages/Accueilfr.aspx
Mozambique,MOZ,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-05,World Health Organization,https://covid19.who.int/
Myanmar,MMR,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-01,World Health Organization,https://www.nytimes.com/2021/07/01/world/asia/covid-myanmar-coup.html
Namibia,NAM,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-14,Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/780007282672277/
Nauru,NRU,Oxford/AstraZeneca,2021-07-13,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Nepal,NPL,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-14,Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60eeca51ead88_SitRep521_COVID-19_14-07-2021_EN.pdf
Netherlands,NLD,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-15,RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
New Caledonia,NCL,Pfizer/BioNTech,2021-07-06,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
New Zealand,NZL,Pfizer/BioNTech,2021-07-13,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
Nicaragua,NIC,"Oxford/AstraZeneca, Sputnik V",2021-05-21,World Health Organization,https://covid19.who.int/
Niger,NER,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-05,World Health Organization,https://covid19.who.int/
Nigeria,NGA,Oxford/AstraZeneca,2021-07-12,World Health Organization,https://covid19.who.int/
Niue,NIU,Oxford/AstraZeneca,2021-07-06,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
North Macedonia,MKD,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",2021-07-15,Government of North Macedonia,https://twitter.com/ZdravstvoMK/status/1415946859839959041
Northern Cyprus,OWID_CYN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-05-27,Ministry of Health,https://asibilgisistemi.com/
Northern Ireland,OWID_NIR,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-14,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Norway,NOR,"Moderna, Pfizer/BioNTech",2021-07-14,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-07-14,World Health Organization,https://covid19.who.int/
Pakistan,PAK,"CanSino, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2021-07-15,National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php
Palestine,PSE,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",2021-07-15,Ministry of Health,https://www.facebook.com/mohps/posts/3976806569111858
Panama,PAN,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-14,Ministry of Health,https://twitter.com/MINSAPma/status/1415484837385932804
Papua New Guinea,PNG,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-06-25,World Health Organization,https://covid19.who.int/
Paraguay,PRY,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2021-07-11,Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
Peru,PER,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2021-07-14,Ministry of Health,https://www.datosabiertos.gob.pe/dataset/vacunaci%C3%B3n-contra-covid-19-ministerio-de-salud-minsa
